,timestamp,HRR_kWLastMinAve,HRR_kVAR,HRR_kW,primaryLovatoReadings.EqvPowerFactor,primaryLovatoReadings.EqvActivePower,primaryLovatoReadings.EqvReactivePower,primaryLovatoReadings.L1PhaseVoltage,primaryLovatoReadings.L2PhaseVoltage,primaryLovatoReadings.L3PhaseVoltage,HRR_WTCorrectedWindSpeed,primaryLovatoReadings.L1Current,primaryLovatoReadings.L2Current,primaryLovatoReadings.L3Current,HRR_GeneratorWindingTemp,HRR_NacelleAirTemp,HRR_OutsideAirTemp,HRR_GearboxOilTemp
4548,40:31.3,-1.772693884,1.06521045,-1.583376451,-0.128150111,-1.580025762,1.060780428,-1.445478284,-1.393476886,-1.349437948,-1.393492437,-1.757671732,-1.722726611,-1.731578882,-1.835308101,-0.932640908,-1.165508012,-1.905677136
4549,40:48.1,-1.764098011,1.375968185,-1.656686712,0.29325674,-1.684886526,1.378704663,-1.42076479,-1.33125995,-1.260065803,-1.574141801,-1.662616993,-1.6571996,-1.653328625,-1.825910776,-0.88166256,-1.215403154,-1.905677136
4550,41:04.9,-1.772693884,1.375968185,-1.815525612,-0.413050283,-1.810882017,1.393549374,-1.565515255,-1.418363661,-1.260065803,-1.646401547,-1.713114823,-1.698898607,-1.76468476,-1.830609439,-0.779705864,-1.215403154,-1.990136998
4551,41:21.8,-1.776991821,1.413259113,-1.831816781,-0.656538318,-1.828358811,1.415816441,-1.445478284,-1.376885703,-1.250135564,-1.465752183,-1.736878508,-1.71974811,-1.722550006,-1.830609439,-0.88166256,-1.165508012,-1.905677136
4552,41:38.9,-1.807077376,1.07764076,-1.518211774,0.081978146,-1.514182957,1.075625139,-1.293666821,-1.14460914,-1.185589015,-1.42962231,-1.724996666,-1.695920106,-1.704492254,-1.830609439,-0.830684212,-1.215403154,-1.926792101
4553,41:55.8,-1.824269122,1.177083235,-1.852180742,-0.007748153,-1.640178448,1.174589881,-1.293666821,-1.14460914,-1.235240207,-1.646401547,-1.701232981,-1.675070603,-1.677405627,-1.835308101,-0.779705864,-1.165508012,-1.926792101
4554,42:12.8,-1.819971186,1.177083235,-1.469338267,0.29862498,-1.814539951,1.57416003,-1.240709334,-1.107278978,-1.135937823,-1.501882056,-1.609148703,-1.59465109,-1.590126494,-1.830609439,-0.779705864,-1.265298296,-1.926792101
4555,42:29.8,-1.781289757,1.090071069,-1.40417359,0.217717932,-1.548730108,1.086758672,-1.307788818,-1.06580102,-1.145868061,-1.42962231,-1.448743832,-1.445726066,-1.620222747,-1.830609439,-0.728727516,-1.265298296,-1.926792101
4556,42:46.6,-1.755502138,1.27652571,-1.587449243,0.227687521,-1.582870822,1.278502861,-1.272483826,-1.198530485,-1.27496116,-1.538011928,-1.597266861,-1.59465109,-1.563039867,-1.830609439,-0.830684212,-1.215403154,-1.947907067
4557,43:11.3,-1.725416582,1.239234782,-1.831816781,-1.388152759,-1.484513051,1.240154023,-1.148916356,-1.210973872,-1.205449491,-1.393492437,-1.460625674,-1.47253257,-1.481779984,-1.830609439,-0.830684212,-1.215403154,-1.926792101
